CP,DS,Java,ADS,CO,FLAT,CD,PPL,Placed_Status
74,71,87,64,99,65,80,77,1
44,33,30,33,31,22,22,23,0
80,80,72,90,66,71,89,80,1
74,63,73,82,81,67,84,70,1
67,54,62,52,76,61,71,62,0
61,63,61,72,63,65,69,67,1
71,67,76,87,74,64,87,84,1
22,45,30,49,47,48,39,40,0
47,41,41,46,37,34,30,33,0
71,80,55,66,63,76,23,46,0
77,74,73,92,94,58,90,91,1
96,73,61,60,87,62,71,88,1
62,44,42,46,42,31,45,51,0
77,94,68,78,67,64,69,63,1
84,71,58,89,82,66,90,76,1
91,71,76,66,65,62,61,72,0
68,77,64,54,84,70,74,61,0
29,31,34,41,34,40,14,47,0
50,62,29,57,58,49,61,65,0
81,70,78,72,81,66,77,79,0
49,48,50,48,58,33,65,67,0
66,96,62,76,66,77,56,64,1
80,69,85,89,75,59,89,84,1
86,68,74,56,67,56,50,86,1
83,82,70,63,99,81,79,79,1
57,81,66,75,69,88,68,64,1
76,66,62,74,87,59,63,68,1
69,77,74,66,86,65,69,80,1
55,60,66,65,85,65,69,62,0
71,74,61,63,59,82,47,83,0
53,61,50,67,70,52,68,56,0
54,68,56,48,91,61,64,72,1
50,45,45,34,36,36,22,36,0
48,64,51,72,73,55,88,67,1
25,62,49,49,64,49,29,62,0
81,62,61,54,98,84,80,79,1
57,66,54,54,64,67,54,54,0
66,62,57,81,67,49,72,61,0
58,79,58,79,86,60,73,79,1
46,33,31,34,32,35,51,60,0
66,94,65,63,64,71,81,68,0
83,65,64,80,74,64,79,73,1
60,82,69,86,82,71,82,80,1
55,20,28,35,38,35,40,48,0
59,75,56,73,65,62,54,59,0
88,65,66,74,82,60,73,62,1
32,55,75,78,92,62,73,99,0
79,86,82,89,100,100,81,81,1
32,62,49,59,63,56,29,47,0
85,66,69,87,80,58,74,71,1
51,75,86,78,88,62,51,73,1
56,65,52,72,82,80,68,69,0
43,67,33,46,40,51,43,33,0
65,68,51,79,73,61,72,61,1
20,24,32,42,50,40,31,52,0
60,63,39,76,75,74,66,81,0
44,51,39,49,49,47,41,31,0
79,66,75,87,78,59,87,81,1
88,61,62,81,81,63,68,71,1
67,59,53,62,72,56,57,73,0
73,87,65,78,66,74,79,61,1
45,58,48,61,52,53,64,53,0
45,62,78,65,60,52,45,65,0
57,30,40,42,52,22,47,41,0
64,68,52,54,58,41,53,40,1
30,48,49,55,60,47,50,52,0
53,57,65,60,80,51,60,72,0
64,51,46,69,58,62,54,73,0
80,98,67,68,80,84,84,77,1
66,58,59,74,71,55,71,67,0
83,70,70,75,79,66,77,81,0
89,64,58,79,99,89,65,90,1
40,48,36,43,37,33,26,23,0
63,66,72,76,82,69,78,71,1
75,74,69,69,92,66,77,84,0
77,75,80,81,92,86,84,88,1
78,72,75,78,69,63,74,61,1
55,52,46,71,61,53,72,54,0
57,54,57,47,58,53,54,29,0
57,40,56,68,76,29,58,76,0
50,61,60,55,62,49,49,55,0
79,63,76,78,67,55,85,75,1
63,73,66,68,71,81,58,68,0
49,43,29,60,59,45,58,61,1
71,71,78,71,63,73,68,59,0
31,60,66,70,66,67,67,42,0
26,63,51,72,71,64,53,74,0
49,25,30,40,21,19,28,29,0
58,62,63,48,61,55,49,58,0
37,64,55,76,69,32,63,62,1
84,74,54,65,59,74,73,78,1
73,70,59,72,84,97,72,83,1
72,87,69,75,72,66,57,67,1
31,56,46,45,43,23,41,47,0
65,68,56,77,81,72,65,82,1
50,37,53,50,48,49,46,62,0
88,80,72,62,73,80,66,80,1
80,74,83,90,99,78,94,87,1
31,47,56,63,62,64,55,68,0
56,57,52,74,64,63,70,77,0
81,83,61,75,58,76,69,68,1
34,57,51,80,77,53,67,80,0
61,52,58,66,74,71,66,63,0
68,83,63,87,86,91,79,83,0
48,69,66,68,64,62,54,75,0
76,70,67,88,83,74,85,77,1
64,58,57,63,48,65,60,61,0
59,56,59,63,68,70,70,80,0
69,61,64,62,52,61,41,70,1
73,48,47,51,34,35,44,61,0
75,74,86,68,84,80,77,81,1
67,63,54,65,56,72,73,72,0
84,88,74,83,77,76,53,85,0
95,70,82,93,89,87,95,80,1
62,77,81,76,76,94,74,93,1
48,56,50,58,56,67,59,61,0
58,75,48,50,54,54,34,67,0
91,66,59,83,83,66,72,73,1
73,50,83,69,63,78,64,82,1
57,73,68,66,68,98,72,58,1
65,64,30,56,61,52,31,62,0
11,48,15,22,16,7,8,40,0
65,73,71,71,80,79,76,91,0
79,68,75,81,95,93,82,81,1
54,50,30,33,21,31,48,51,0
65,69,61,91,68,63,76,74,1
51,55,56,64,60,63,54,79,0
70,70,68,67,82,83,82,81,0
64,82,53,74,53,71,68,65,1
60,63,63,81,77,62,70,68,0
47,46,48,57,57,62,31,62,0
83,80,63,81,87,92,70,75,1
60,83,59,59,61,67,56,65,0
63,63,65,78,70,67,72,68,1
40,36,30,49,49,32,25,52,0
78,77,63,75,75,83,81,69,1
49,73,40,56,49,55,36,42,0
50,61,42,74,68,26,78,71,0
83,73,79,77,78,88,68,83,0
56,67,56,71,67,65,63,60,0
64,87,62,62,73,69,59,69,1
63,49,29,51,58,44,51,59,0
64,53,57,49,28,41,35,66,0
64,52,45,49,50,38,54,70,0
99,77,70,83,78,77,70,86,1
69,77,75,86,63,75,78,74,1
54,68,80,66,67,60,52,88,0
60,51,50,49,35,64,61,66,0
86,68,60,77,72,62,55,63,1
66,74,68,72,68,58,76,70,0
45,44,48,53,64,57,43,64,0
82,99,68,80,89,100,98,87,1
70,55,37,58,67,64,54,63,0
51,70,62,75,71,34,94,73,0
55,45,49,40,17,40,28,25,0
80,89,72,79,84,90,90,78,1
72,56,63,50,60,43,55,45,0
74,79,54,67,62,68,80,71,0
41,23,46,47,32,40,52,56,0
63,83,52,72,49,65,59,59,0
26,47,32,40,26,42,24,19,0
65,62,38,58,70,60,58,66,1
75,94,70,67,63,74,71,73,1
94,63,71,60,51,58,71,70,1
47,41,30,34,62,53,28,33,0
65,67,75,73,85,80,87,68,0
54,83,44,48,33,28,61,70,0
64,55,51,58,30,34,32,58,0
14,35,27,29,22,26,11,19,0
50,41,36,54,57,51,60,61,0
63,62,54,62,33,49,59,70,0
54,42,46,49,24,55,60,72,0
75,69,62,83,76,70,67,89,1
73,63,55,67,84,70,95,72,1
51,40,50,53,25,38,42,46,0
72,53,21,24,26,26,51,46,0
73,59,54,59,82,55,72,66,0
48,50,34,53,22,34,14,26,0
41,29,27,24,16,20,31,45,0
43,46,42,50,57,54,35,38,0
61,31,39,62,59,54,62,52,0
72,65,66,66,74,72,68,75,0
40,28,56,66,38,42,31,23,0
69,54,59,67,73,71,65,59,1
85,78,62,68,93,71,76,86,1
72,56,53,57,58,56,62,72,0
43,24,31,64,27,26,43,41,0
48,32,26,60,42,32,22,22,0
67,56,50,51,34,36,65,59,0
85,67,70,71,69,69,85,80,1
74,61,54,67,57,47,92,78,1
74,69,61,80,77,76,59,75,0
44,66,46,51,64,86,71,70,0
46,40,43,53,43,44,41,62,0
58,25,32,46,33,26,24,49,0
73,59,61,77,61,66,50,46,1
74,64,68,67,75,69,92,67,1
69,62,58,60,65,73,72,77,1
76,66,67,67,96,94,71,71,1
65,63,56,80,69,61,58,51,0
40,54,49,43,62,39,72,54,0
40,43,48,54,55,40,49,57,0
64,58,62,61,76,73,82,79,1
66,55,62,69,76,55,50,40,0
30,52,37,51,67,28,64,53,0
53,64,77,76,71,78,63,77,0
45,19,31,39,33,18,24,54,0
65,59,52,70,57,59,34,38,0
55,61,51,58,69,33,86,60,0
71,73,82,69,71,64,56,78,1
55,29,50,55,58,58,60,58,0
45,20,34,63,46,53,35,33,0
57,29,31,36,57,32,57,52,0
64,60,79,73,76,74,64,79,0
79,68,67,65,89,97,73,68,1
84,69,61,78,73,72,59,60,0
52,61,50,60,79,70,83,76,1
57,58,79,74,76,92,67,83,0
51,53,53,57,52,73,68,57,0
43,51,37,61,52,53,44,50,0
51,53,47,57,63,55,63,47,0
61,56,74,70,78,72,78,86,0
47,50,38,40,54,56,29,21,0
25,40,33,69,51,50,34,29,0
47,52,47,59,67,49,67,65,0
43,45,52,58,24,50,31,56,0
21,43,36,31,34,25,53,47,0
